node	bin
NODE_62_length_199543_cov_421.653648	42
NODE_48_length_238566_cov_633.968760	42
NODE_159_length_115653_cov_606.512396	42
NODE_97_length_157562_cov_398.407849	42
NODE_254_length_79671_cov_67.526301	91
NODE_967_length_5198_cov_182.520124	91
NODE_1099_length_2951_cov_127.024517	91
NODE_296_length_70218_cov_65.370466	91
NODE_476_length_42955_cov_73.899627	91
NODE_603_length_29269_cov_65.472924	91
NODE_338_length_62232_cov_65.192611	91
NODE_383_length_53899_cov_64.032817	91
NODE_984_length_4895_cov_66.857231	91
NODE_636_length_25311_cov_65.278587	91
NODE_860_length_9858_cov_65.430889	91
NODE_744_length_17513_cov_63.151850	91
NODE_1066_length_3436_cov_65.052943	91
NODE_417_length_49683_cov_64.973221	91
NODE_382_length_54040_cov_65.071427	91
NODE_739_length_17591_cov_64.999259	91
NODE_749_length_17173_cov_66.112163	91
NODE_709_length_19529_cov_44.275752	91
NODE_1120_length_2654_cov_42.470181	91
NODE_737_length_17725_cov_65.309677	91
NODE_547_length_35233_cov_65.772272	91
NODE_394_length_52233_cov_66.364732	91
NODE_473_length_43144_cov_65.905660	91
NODE_425_length_48557_cov_65.417014	91
NODE_973_length_5030_cov_63.056884	91
NODE_562_length_33482_cov_65.192090	91
NODE_410_length_50572_cov_64.534295	91
NODE_590_length_30405_cov_66.714300	91
NODE_343_length_61512_cov_65.712417	91
NODE_458_length_44619_cov_65.635221	91
NODE_826_length_11602_cov_63.545077	91
NODE_692_length_20816_cov_68.900438	91
NODE_1020_length_4240_cov_281.865472	91
NODE_271_length_74510_cov_65.066067	91
NODE_393_length_52364_cov_65.221912	91
NODE_869_length_9557_cov_66.137129	91
NODE_210_length_91594_cov_66.251226	91
NODE_310_length_67373_cov_68.547149	91
NODE_635_length_25335_cov_64.344581	91
NODE_464_length_44399_cov_65.285360	91
NODE_187_length_99666_cov_65.508980	91
NODE_753_length_16573_cov_84.457380	91
NODE_632_length_26083_cov_64.294952	91
NODE_837_length_10818_cov_66.966459	91
NODE_599_length_29532_cov_67.448214	91
NODE_568_length_32582_cov_64.931780	91
NODE_404_length_51055_cov_65.835627	91
NODE_872_length_9302_cov_65.889802	91
NODE_736_length_17728_cov_66.101624	91
NODE_664_length_22917_cov_67.666083	91
NODE_611_length_28587_cov_65.971716	91
NODE_114_length_144715_cov_64.888670	91
NODE_570_length_32376_cov_63.977414	91
NODE_591_length_30308_cov_66.787195	91
NODE_621_length_27665_cov_69.413510	91
NODE_777_length_14671_cov_63.848385	91
NODE_905_length_7579_cov_62.821239	91
NODE_895_length_8206_cov_65.625935	91
NODE_168_length_109993_cov_64.174116	91
NODE_110_length_150144_cov_65.113879	91
NODE_507_length_38699_cov_63.441880	91
NODE_398_length_51553_cov_65.951629	91
NODE_775_length_14802_cov_65.279989	91
NODE_564_length_32973_cov_64.451364	91
NODE_329_length_64158_cov_65.201254	91
NODE_516_length_38111_cov_64.689747	91
NODE_406_length_50975_cov_65.012019	91
NODE_324_length_64956_cov_64.014068	91
NODE_262_length_77083_cov_64.395609	91
NODE_579_length_31680_cov_64.469787	91
NODE_292_length_71060_cov_65.035533	91
NODE_913_length_7188_cov_65.082714	91
NODE_317_length_66146_cov_65.683270	91
NODE_551_length_34800_cov_64.932566	91
NODE_814_length_12263_cov_64.674148	91
NODE_478_length_42769_cov_66.604322	91
NODE_369_length_58529_cov_65.731077	91
NODE_137_length_127810_cov_64.963978	91
NODE_491_length_40427_cov_65.571213	91
NODE_503_length_39471_cov_63.355718	91
NODE_678_length_21769_cov_65.182048	91
NODE_665_length_22916_cov_66.820786	91
NODE_833_length_10987_cov_63.473015	91
NODE_587_length_30598_cov_65.463249	91
NODE_475_length_43058_cov_65.636444	91
NODE_696_length_20631_cov_63.545879	91
NODE_573_length_32237_cov_65.470853	91
NODE_445_length_45683_cov_66.549728	91
NODE_352_length_60490_cov_65.769207	91
NODE_659_length_23291_cov_65.272379	91
NODE_834_length_10970_cov_66.091709	91
NODE_484_length_41111_cov_64.631211	91
NODE_670_length_22539_cov_65.751646	91
NODE_98_length_156658_cov_65.269561	91
NODE_528_length_36740_cov_65.338422	91
NODE_825_length_11664_cov_63.553019	91
NODE_735_length_17902_cov_64.401356	91
NODE_350_length_60835_cov_65.281639	91
NODE_422_length_48804_cov_66.031529	91
NODE_523_length_37198_cov_63.989742	91
NODE_109_length_150279_cov_65.323417	91
NODE_542_length_35734_cov_64.709941	91
NODE_380_length_54265_cov_65.253385	91
NODE_652_length_23693_cov_66.714020	91
NODE_799_length_13329_cov_65.978755	91
NODE_873_length_9276_cov_64.739616	91
NODE_1154_length_2346_cov_1588.722616	91
NODE_807_length_12776_cov_66.874774	91
NODE_429_length_48112_cov_64.414924	91
NODE_558_length_33924_cov_65.113909	91
NODE_531_length_36353_cov_65.247176	91
NODE_630_length_26272_cov_64.426250	91
NODE_954_length_5528_cov_64.594372	91
NODE_423_length_48782_cov_65.062019	91
NODE_419_length_49366_cov_65.438989	91
NODE_584_length_31032_cov_86.478193	91
NODE_623_length_27544_cov_65.783150	91
NODE_695_length_20807_cov_65.185621	91
NODE_494_length_40270_cov_64.786647	91
NODE_556_length_34279_cov_69.647908	91
NODE_416_length_49695_cov_66.323449	91
NODE_685_length_21305_cov_67.395294	91
NODE_492_length_40306_cov_65.193958	91
NODE_222_length_89642_cov_65.572014	91
NODE_646_length_24566_cov_65.112847	91
NODE_645_length_24664_cov_74.248121	91
NODE_679_length_21754_cov_65.221347	91
NODE_344_length_61493_cov_65.913506	91
NODE_519_length_37821_cov_73.146984	91
NODE_502_length_39581_cov_66.449021	91
NODE_413_length_49866_cov_65.721126	91
NODE_261_length_77112_cov_64.563258	91
NODE_391_length_52497_cov_64.729358	91
